STOP_NAME,ID_REFA_LDA,CAT_DAY,HOUR,PCT_CHECKINS_s1,PCT_CHECKINS_s2,PCT_CHECKINS_mean
QUAI DE LA GARE,71597.0,DIJFP,11.0,3.83,3.87,3.85
QUAI DE LA GARE,71597.0,DIJFP,13.0,5.33,5.38,5.355
QUAI DE LA GARE,71597.0,DIJFP,14.0,6.44,6.59,6.515000000000001
QUAI DE LA GARE,71597.0,DIJFP,15.0,7.9,7.74,7.82
QUAI DE LA GARE,71597.0,DIJFP,18.0,11.28,9.68,10.48
QUAI DE LA GARE,71597.0,DIJFP,1.0,0.33,0.22,0.275
QUAI DE LA GARE,71597.0,DIJFP,21.0,4.28,4.83,4.555
QUAI DE LA GARE,71597.0,JOHV,21.0,2.71,2.63,2.67
QUAI DE LA GARE,71597.0,JOHV,5.0,0.42,0.39,0.405
QUAI DE LA GARE,71597.0,JOHV,6.0,1.04,1.03,1.0350000000000001
QUAI DE LA GARE,71597.0,JOVS,18.0,18.07,16.08,17.075
QUAI DE LA GARE,71597.0,JOVS,20.0,5.74,5.43,5.585
QUAI DE LA GARE,71597.0,JOVS,2.0,0.01,0.01,0.01
QUAI DE LA GARE,71597.0,JOVS,9.0,2.8,2.74,2.77
QUAI DE LA GARE,71597.0,SAHV,22.0,4.71,4.66,4.6850000000000005
QUAI DE LA GARE,71597.0,SAHV,23.0,4.79,4.24,4.515000000000001
QUAI DE LA GARE,71597.0,SAHV,2.0,0.1,0.09,0.095
QUAI DE LA GARE,71597.0,SAHV,8.0,1.58,1.57,1.5750000000000002
QUAI DE LA GARE,71597.0,SAVS,0.0,4.78,5.76,5.27
QUAI DE LA GARE,71597.0,SAVS,21.0,4.34,4.63,4.484999999999999
QUAI DE LA GARE,71597.0,SAVS,5.0,1.9,1.35,1.625
QUAI DE LA GARE,71597.0,SAVS,9.0,2.3,2.13,2.215
QUAI DE LA RAPEE,71637.0,DIJFP,12.0,5.83,5.65,5.74
QUAI DE LA RAPEE,71637.0,DIJFP,13.0,5.39,5.2,5.295
QUAI DE LA RAPEE,71637.0,DIJFP,16.0,8.76,8.34,8.55
QUAI DE LA RAPEE,71637.0,JOHV,12.0,5.91,6.4,6.155
QUAI DE LA RAPEE,71637.0,JOHV,13.0,5.11,5.16,5.135
QUAI DE LA RAPEE,71637.0,JOHV,18.0,12.54,12.53,12.535
